Date,BP.L,SSE.L,CNA.L,NG.L
2019-06-21,554.229248046875,1107.6353759765625,88.989990234375,844.534912109375
2019-06-24,548.3500366210938,1105.6419677734375,88.47063446044922,843.3385620117188
2019-06-25,549.047607421875,1118.098876953125,87.7115707397461,836.5590209960938
2019-06-26,552.5352172851562,1112.119384765625,87.2920913696289,827.6861572265625
2019-06-27,548.7485961914062,1110.6248779296875,86.21341705322266,830.5772705078125
2019-06-28,546.656005859375,1118.098876953125,87.67162322998047,833.2691650390625
2019-07-01,555.923095703125,1132.05029296875,88.47063446044922,836.5590209960938
2019-07-02,553.9302368164062,1152.9766845703125,89.82896423339844,860.087646484375
2019-07-03,544.3642578125,1152.9766845703125,89.00996398925781,864.3746337890625
2019-07-04,543.965576171875,1158.9560546875,87.45188903808594,862.3807373046875
2019-07-05,540.57763671875,1146.4993896484375,87.97124481201172,851.5137939453125
2019-07-08,543.965576171875,1139.0255126953125,86.6129379272461,847.126953125
2019-07-09,544.4638671875,1142.5133056640625,87.65164184570312,851.713134765625
2019-07-10,543.7664184570312,1139.5238037109375,87.2321548461914,851.3143920898438
2019-07-11,543.8660278320312,1143.510009765625,87.65164184570312,837.9548950195312
2019-07-12,544.065185546875,1140.02197265625,88.13105010986328,835.9609375
2019-07-15,540.1791381835938,1148.9908447265625,88.89010620117188,835.36279296875
2019-07-16,541.6737670898438,1147.49609375,87.9912109375,827.4866943359375
2019-07-17,526.12890625,1148.9908447265625,88.03117370605469,827.4866943359375
2019-07-18,513.8727416992188,1159.95263671875,89.62920379638672,829.4807739257812
2019-07-19,515.8656616210938,1154.969970703125,90.14855194091797,832.2720947265625
2019-07-22,521.1467895507812,1150.98388671875,88.1709976196289,830.97607421875
2019-07-23,525.4317016601562,1150.98388671875,88.93006896972656,839.450439453125
2019-07-24,521.64501953125,1160.94921875,88.89010620117188,838.1542358398438
2019-07-25,521.74462890625,1076.37646484375,86.19345092773438,837.7554931640625
2019-07-26,521.1467895507812,1090.3360595703125,87.37199401855469,843.8370971679688
2019-07-29,525.1325073242188,1105.7913818359375,90.72784423828125,854.006103515625
2019-07-30,541.2752685546875,1095.32177734375,73.48915100097656,849.3204345703125
2019-07-31,543.7664184570312,1097.31591796875,75.98606872558594,841.743408203125
2019-08-01,536.7911376953125,1097.814208984375,73.84870147705078,853.4080200195312
2019-08-02,525.0331420898438,1094.324462890625,73.28939819335938,854.006103515625
2019-08-05,513.7728881835938,1076.8751220703125,71.13207244873047,839.450439453125
2019-08-06,505.2033996582031,1070.8924560546875,69.23441314697266,828.4837036132812
2019-08-07,503.80841064453125,1080.3651123046875,68.29557800292969,840.5470581054688
2019-08-08,501.20086669921875,1088.84033203125,67.47657775878906,844.1361083984375
2019-08-09,501.20086669921875,1091.3330078125,66.37794494628906,847.2267456054688
2019-08-12,499.1077880859375,1106.2896728515625,65.41912078857422,844.833984375
2019-08-13,505.187255859375,1115.263671875,65.27930450439453,834.5653076171875
2019-08-14,496.3172912597656,1106.7884521484375,65.41912078857422,840.2478637695312
2019-08-15,488.04534912109375,1100.8057861328125,64.87979888916016,848.423095703125
2019-08-16,488.5437316894531,1103.7969970703125,65.35920715332031,855.1028442382812
2019-08-19,498.4102478027344,1109.779541015625,66.2181396484375,865.2719116210938
2019-08-20,491.6829833984375,1094.324462890625,64.5002670288086,847.7252807617188
2019-08-21,497.16448974609375,1093.826171875,64.75994873046875,853.9064331054688
2019-08-22,492.7793273925781,1092.3302001953125,65.03960418701172,845.2327270507812
2019-08-23,486.35101318359375,1120.748046875,65.45907592773438,850.4171142578125
2019-08-27,486.4009094238281,1125.23486328125,66.57769012451172,851.5137939453125
2019-08-28,497.0648193359375,1115.7623291015625,67.43663024902344,852.0121459960938
2019-08-29,501.20086669921875,1121.246337890625,68.2156753540039,851.214599609375
2019-08-30,498.5097961425781,1147.6695556640625,69.61394500732422,855.9004516601562
2019-09-02,502.09771728515625,1145.6754150390625,70.13330841064453,858.2932739257812
2019-09-03,501.20086669921875,1152.6552734375,70.2331771850586,866.4683227539062
2019-09-04,505.286865234375,1165.6177978515625,69.79370880126953,864.075439453125
2019-09-05,505.286865234375,1165.1190185546875,69.01467895507812,842.7403564453125
2019-09-06,499.3071594238281,1146.672607421875,67.77621459960938,838.4535522460938
2019-09-09,503.0942687988281,1136.2030029296875,67.71629333496094,817.5169677734375
2019-09-10,510.9677429199219,1141.1884765625,70.35301971435547,813.9279174804688
2019-09-11,510.36968994140625,1156.6434326171875,72.7700424194336,823.5984497070312
2019-09-12,502.2969665527344,1162.62646484375,74.68767547607422,829.380859375
2019-09-13,502.303955078125,1180.50146484375,75.7463607788086,825.9913330078125
2019-09-16,522.8272705078125,1196.5277099609375,74.86744689941406,830.3778076171875
2019-09-17,515.2529907226562,1208.9915771484375,72.80998992919922,840.9459228515625
2019-09-18,513.3594970703125,1224.4468994140625,72.69013977050781,844.036376953125
2019-09-19,515.153564453125,1232.4239501953125,73.48915100097656,848.6224365234375
2019-09-20,519.2395629882812,1232.4239501953125,73.26942443847656,848.9215087890625
2019-09-23,517.1467895507812,1217.96533203125,71.67140197753906,857.6948852539062
2019-09-24,509.3730163574219,1224.9453125,70.63267517089844,865.2719116210938
2019-09-25,506.98114013671875,1222.951416015625,71.1120834350586,860.685791015625
2019-09-26,512.5623168945312,1236.4122314453125,72.71011352539062,884.31396484375
2019-09-27,517.5452880859375,1239.9019775390625,73.36930847167969,880.326171875
2019-09-30,514.0571899414062,1241.8961181640625,73.64895629882812,879.2295532226562
2019-10-01,512.4625854492188,1248.37744140625,73.50912475585938,880.42578125
2019-10-02,490.3376159667969,1216.469970703125,70.69261169433594,861.6829223632812
2019-10-03,483.2615661621094,1226.9395751953125,69.39422607421875,856.0000610351562
2019-10-04,493.227783203125,1249.3746337890625,69.5739974975586,867.4652099609375
2019-10-07,500.602783203125,1253.36279296875,71.37177276611328,876.9364013671875
2019-10-08,499.90509033203125,1236.4122314453125,69.2943344116211,877.8338012695312
2019-10-09,504.5893249511719,1239.9019775390625,67.91604614257812,876.5376586914062
2019-10-10,500.30377197265625,1241.8961181640625,66.55242919921875,868.1632080078125
2019-10-11,491.8822937011719,1305.2125244140625,68.69026184082031,888.900146484375
2019-10-14,491.0849914550781,1277.7921142578125,67.45150756835938,881.123779296875
2019-10-15,488.5437316894531,1310.197998046875,69.96895599365234,890.79443359375
2019-10-16,484.5571594238281,1301.72265625,69.8291015625,892.5890502929688
2019-10-17,486.6001892089844,1309.200927734375,69.66925811767578,896.2776489257812
2019-10-18,483.4110412597656,1304.714111328125,69.92900085449219,897.2747802734375
2019-10-21,488.3443298339844,1306.7080078125,72.12676239013672,894.7822875976562
2019-10-22,497.4634704589844,1314.6851806640625,73.0258560180664,907.9423217773438
2019-10-23,504.6888732910156,1318.6734619140625,74.12474060058594,919.4076538085938
2019-10-24,508.2767333984375,1312.1920166015625,73.84501647949219,922.9964599609375
2019-10-25,510.2700500488281,1297.235595703125,72.46642303466797,901.1629638671875
2019-10-28,510.2700500488281,1293.247314453125,73.1457290649414,897.873046875
2019-10-29,490.8857116699219,1267.8211669921875,71.28761291503906,891.7913818359375
2019-10-30,498.9085693359375,1276.794921875,72.0868148803711,899.1690673828125
2019-10-31,487.64666748046875,1279.786376953125,72.48639678955078,898.5707397460938
2019-11-01,495.42047119140625,1286.7659912109375,71.20769500732422,897.6734619140625
2019-11-04,509.3730163574219,1277.7921142578125,71.7071762084961,894.2838745117188
2019-11-05,514.6551513671875,1276.2965087890625,70.92798614501953,888.3020629882812
2019-11-06,512.3629150390625,1272.8062744140625,72.48639678955078,895.0814208984375
2019-11-07,512.2416381835938,1243.890380859375,71.22767639160156,883.6162109375
2019-11-08,506.95867919921875,1246.3831787109375,72.86602020263672,887.205322265625
2019-11-11,505.0648498535156,1262.336669921875,73.36551666259766,884.11474609375
2019-11-12,510.248046875,1286.267578125,74.72413635253906,884.712890625
2019-11-13,509.151611328125,1318.1748046875,74.4244384765625,888.9998168945312
2019-11-14,504.6661071777344,1302.7198486328125,73.70516967773438,891.193359375
2019-11-15,507.2577209472656,1305.2125244140625,73.56529235839844,892.3894653320312
2019-11-18,500.1806640625,1332.6328125,74.46439361572266,904.0540771484375
2019-11-19,500.2801818847656,1312.1920166015625,73.48538208007812,896.0784912109375
2019-11-20,495.4958801269531,1307.206787109375,72.62625122070312,890.3955688476562
2019-11-21,495.64532470703125,1296.23876953125,79.23954010009766,885.4107666015625
2019-11-22,497.3896179199219,1309.200927734375,82.21651458740234,895.7791748046875
2019-11-25,498.6854248046875,1332.1343994140625,82.97575378417969,907.6431274414062
2019-11-26,491.5086975097656,1316.1807861328125,82.31642150878906,907.144775390625
2019-11-27,487.77081298828125,1308.70263671875,82.11662292480469,919.7066650390625
2019-11-28,484.5312805175781,1314.1866455078125,80.97777557373047,893.434326171875
2019-11-29,478.6502990722656,1296.23876953125,80.13863372802734,887.15234375
2019-12-02,480.1953125,1276.794921875,78.5202865600586,876.2835083007812
2019-12-03,468.5331115722656,1276.2965087890625,77.98081970214844,875.4857788085938
2019-12-04,470.82568359375,1296.7371826171875,78.91986846923828,875.7850952148438
2019-12-05,463.8482360839844,1311.1951904296875,79.85891723632812,880.17236328125
2019-12-06,471.5732421875,1318.1748046875,80.67809295654297,890.0440673828125
2019-12-09,469.72918701171875,1314.1866455078125,81.11763763427734,888.2492065429688
2019-12-10,467.7854919433594,1306.2098388671875,79.9787826538086,888.1495361328125
2019-12-11,461.7550964355469,1317.177734375,81.09764099121094,894.4315795898438
2019-12-12,467.8353576660156,1305.7109375,80.6181411743164,885.4572143554688
2019-12-13,460.9575500488281,1411.404296875,87.7109375,925.4423828125
2019-12-16,466.48968505859375,1455.277099609375,90.14847564697266,930.328369140625
2019-12-17,477.3046875,1446.3031005859375,90.0885238647461,946.4820556640625
2019-12-18,477.753173828125,1438.326416015625,89.70892333984375,946.5816040039062
2019-12-19,482.08929443359375,1451.288818359375,89.40921020507812,949.971923828125
2019-12-20,483.484619140625,1445.8045654296875,89.06957244873047,959.2451782226562
2019-12-23,487.47174072265625,1456.77294921875,89.80880737304688,962.934814453125
2019-12-24,486.1261291503906,1463.2540283203125,89.96864318847656,956.4534912109375
2019-12-27,482.3883056640625,1463.2540283203125,90.50811004638672,958.5473022460938
2019-12-30,476.9559020996094,1451.288818359375,90.02859497070312,950.7696533203125
2019-12-31,470.07806396484375,1434.3377685546875,89.20942687988281,941.5960693359375
2020-01-02,479.2982482910156,1452.2857666015625,90.06855773925781,947.6787109375
2020-01-03,492.45562744140625,1440.8189697265625,90.38822937011719,948.0775146484375
2020-01-06,502.4731750488281,1437.827880859375,89.48914337158203,943.59033203125
2020-01-07,497.19024658203125,1419.3812255859375,87.57108306884766,939.90087890625
2020-01-08,492.704833984375,1403.9261474609375,88.13052368164062,937.208740234375
2020-01-09,490.4620056152344,1406.4189453125,87.41123962402344,933.818359375
2020-01-10,493.6517639160156,1420.8768310546875,85.65302276611328,932.3226928710938
2020-01-13,495.4958801269531,1440.320556640625,87.49115753173828,938.6046142578125
2020-01-14,494.2996826171875,1454.280029296875,89.64897155761719,935.812744140625
2020-01-15,493.6019592285156,1482.198974609375,91.26734161376953,953.8607788085938
2020-01-16,496.24346923828125,1473.9615478515625,90.74786376953125,957.5501708984375
2020-01-17,494.7980041503906,1490.9150390625,92.76580810546875,973.9032592773438
2020-01-20,491.9074401855469,1491.912353515625,93.40515899658203,984.5726928710938
2020-01-21,488.767578125,1478.44921875,92.32625579833984,984.472900390625
2020-01-22,478.9493408203125,1498.89306640625,93.10546112060547,992.2506713867188
2020-01-23,480.59405517578125,1500.8876953125,90.50811004638672,991.3532104492188
2020-01-24,484.5312805175781,1525.32080078125,91.16743469238281,1011.4954223632812
2020-01-27,475.4107971191406,1491.912353515625,88.94969177246094,1003.5181884765625
2020-01-28,480.1953125,1502.3836669921875,88.2503890991211,1015.8826293945312
2020-01-29,476.35772705078125,1495.9014892578125,87.63102722167969,1018.8741455078125
2020-01-30,465.5926208496094,1496.89892578125,86.7918701171875,1013.4896240234375
2020-01-31,455.2262268066406,1504.378173828125,84.75393676757812,1002.9199829101562
2020-02-03,451.2390441894531,1535.792236328125,85.59308624267578,1006.1107788085938
2020-02-04,470.0281982421875,1533.299072265625,83.85486602783203,1006.908447265625
2020-02-05,482.7370300292969,1562.2197265625,84.11457824707031,1018.0765380859375
2020-02-06,473.4671630859375,1588.1484375,84.91378784179688,1025.0562744140625
2020-02-07,468.4832458496094,1597.62255859375,85.05363464355469,1019.8712768554688
2020-02-10,463.1006774902344,1595.6282958984375,82.59613037109375,1021.2672119140625
2020-02-11,468.18414306640625,1637.5135498046875,82.03669738769531,1027.05078125
2020-02-12,473.06842041015625,1620.0611572265625,84.69400024414062,1025.2557373046875
2020-02-13,458.5444641113281,1634.521728515625,71.74715423583984,1016.4810180664062
2020-02-14,455.4539489746094,1654.466796875,71.18772888183594,1037.0218505859375
2020-02-17,459.5912780761719,1669.924560546875,72.56631469726562,1041.8084716796875
